"Market Place","Crop Variety","Producer Min","Producer Max","Wholesale Min","Wholesale Max","Retail Min","Retail Max","Volume","Collection Date"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2400,2500,2550,2650,"Sufficient","2019-05-02"
"Hawassa ","White Teff (Quintal)",0,0,2700,2900,2800,3000,"Under","2019-05-06"
"Humera","White Teff (Quintal)",0,0,2800,2900,0,0,"Sufficient","2019-05-08"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2450,2550,2550,2700,"Sufficient","2019-05-09"
"Hawassa ","White Teff (Quintal)",0,0,2700,2900,2800,3000,"Under","2019-05-13"
"Humera","White Teff (Quintal)",0,0,2900,2950,0,0,"Under","2019-05-15"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2400,2550,2600,2700,"Sufficient","2019-05-16"
"Hawassa ","White Teff (Quintal)",0,0,2700,2900,2800,3000,"Under","2019-05-20"
"Humera","White Teff (Quintal)",0,0,2900,3000,0,0,"Sufficient","2019-05-22"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2450,2550,2600,2750,"Sufficient","2019-05-23"
"Adama City","White Teff (Quintal)",2900,3000,0,0,2900,3000,"Sufficient","2019-05-23"
"Hawassa ","White Teff (Quintal)",0,0,2800,3000,2900,3100,"Under","2019-05-27"
"Humera","White Teff (Quintal)",0,0,2900,3100,0,0,"Sufficient","2019-05-29"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2450,2550,2600,2750,"Sufficient","2019-05-30"
"Adama City","White Teff (Quintal)",2900,3000,0,0,2900,3000,"Sufficient","2019-05-30"
"Hawassa ","White Teff (Quintal)",0,0,2800,3000,2900,3100,"Sufficient","2019-06-03"
"Humera","White Teff (Quintal)",0,0,3000,3100,0,0,"Sufficient","2019-06-05"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2500,2600,2600,2800,"Sufficient","2019-06-06"
"Adama City","White Teff (Quintal)",0,0,2850,2900,2950,3050,"Sufficient","2019-06-06"
"Humera","White Teff (Quintal)",0,0,3100,3200,0,0,"Sufficient","2019-06-12"
"Adama City","White Teff (Quintal)",0,0,3000,3050,3080,3100,"Sufficient","2019-06-13"
"Hawassa ","White Teff (Quintal)",0,0,2800,3000,2900,3100,"Sufficient","2019-06-17"
"Humera","White Teff (Quintal)",0,0,3100,3200,0,0,"Sufficient","2019-06-19"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2650,2800,2800,3100,"Sufficient","2019-06-20"
"Adama City","White Teff (Quintal)",0,0,2900,2950,3000,3050,"Sufficient","2019-06-20"
"Humera","White Teff (Quintal)",0,0,3100,3200,0,0,"Sufficient","2019-06-26"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2650,2800,2800,3100,"Sufficient","2019-06-27"
"Adama City","White Teff (Quintal)",0,0,2900,2950,3000,3000,"Under","2019-06-27"
"Hawassa ","White Teff (Quintal)",0,0,2900,3000,3100,3300,"Sufficient","2019-07-01"
"Humera","White Teff (Quintal)",0,0,3200,3300,0,0,"Sufficient","2019-07-03"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2650,2800,2800,3100,"Sufficient","2019-07-04"
"Adama City","White Teff (Quintal)",0,0,2900,2950,3000,3050,"Sufficient","2019-07-04"
"Hawassa ","White Teff (Quintal)",0,0,2800,2900,3100,3200,"Sufficient","2019-07-08"
"Humera","White Teff (Quintal)",0,0,3200,3300,0,0,"Sufficient","2019-07-10"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2650,2800,2800,3100,"Sufficient","2019-07-11"
"Adama City","White Teff (Quintal)",0,0,0,0,2900,3000,"Sufficient","2019-07-11"
"Hawassa ","White Teff (Quintal)",0,0,2800,2900,3100,3200,"Sufficient","2019-07-15"
"Humera","White Teff (Quintal)",0,0,3100,3300,0,0,"Sufficient","2019-07-17"
"Bahir Dar kebele 04","White Teff (Quintal)",0,0,2750,3000,2900,3200,"Sufficient","2019-07-18"
"Adama City","White Teff (Quintal)",0,0,2880,2900,2950,3000,"Sufficient","2019-07-18"
"Humera","White Teff (Quintal)",0,0,3200,3300,0,0,"Sufficient","2019-07-24"
